Restaurant Name,Dining Rating,Delivery Rating,Dining Votes,Delivery Votes,Cuisine ,Place Name,City,Item Name,Best Seller,Votes,Prices
Winners Pizza - Fresh Dough,,3.2,0,452,Beverages,Sion, Mumbai,Peri Peri Paneer Garlic Bread,,0,149.0
Cups & Cones,4.1,4.0,70,0,Beverages,Vyttila, Kochi,Chicken Zinger Burger,MUST TRY,12,199.0
The Burping Panda,,3.9,0,0,Pizza,Park Circus Area, Kolkata,Sweet and Sour Fish,,0,180.0
Mario's,,4.0,0,0,Pizza,Moudhapara, Raipur,Chatpata Chicken Masala Rice,,7,225.0
Anjappar,3.1,3.8,74,0,Beverages,Parrys, Chennai,Chicken Noodles,,0,275.0
New Pankaj - Sandwich & Pani Puri,,4.2,0,0,Beverages,Matunga East, Mumbai,Vegetable Grill Sandwich,BESTSELLER,229,198.0
Khana Khazana,4.0,3.9,538,0,Pizza,Dobson Road, Kolkata,Mushroom Butter Masala,,13,320.0
Umiya Annpurna Kathiyawadi,3.3,3.8,42,0,North Indian,Isanpur, Ahmedabad,Plain Dahi,,0,59.0
Crispy Studio,4.1,4.2,59,0,Biryani,JP Nagar, Bangalore,Crispy Chicken,BESTSELLER,150,120.0
Kikki's Cafe,3.9,4.1,177,0,Pizza,Samta Colony, Raipur,Strawberry Thick Shake,,0,160.0
Domino's Pizza,3.9,3.9,563,0,Fast Food,Entally, Kolkata,Pepper Barbecue Chicken,,253,119.0
A Balaji Santosh Dhaba,3.7,4.0,9,974,Chinese,Langer Houz, Hyderabad,Kadai Mushroom,,0,240.0
Annamaya,4.3,4.1,187,952,Beverages,Byculla, Mumbai,Classic Manchurian Dry,BESTSELLER,20,270.0
Kanha,3.8,4.2,872,0,Desserts,C Scheme, Jaipur,Rava Masala Dosa without Onion and Garlic,,11,209.0
Pizza Unlimited,3.0,3.6,14,0,Beverages,Pink City, Jaipur,Paneer Chilli with Gravy,,7,140.0
The House Of Momo's,4.3,3.6,35,0,Chinese,Mani Nagar, Ahmedabad,MIx Veg Steamed Makhani [6 Pieces],,0,158.0
Hotel Hyderabadi,4.2,3.8,452,0,Pizza,Moudhapara, Raipur,Chicken Aashiyana,,0,240.0
Ariena Boutique Hotel,3.9,4.2,13,523,Pizza,Purena, Raipur,Manchurian Fish Gravy,,0,525.0
Truffles,4.6,4.3,0,0,Desserts,St. Marks Road, Bangalore,Chicken Pepperoni,,0,209.53
The Pizza Box,4.1,3.8,128,515,Beverages,Senapati Bapat Road, Pune,Veg Small Pizzas @ Rs 169 Each,,0,338.0
Jhakas Family Restaurant,,3.7,0,668,Sichuan,Wadala, Mumbai,Chicken Dhoom 3,,0,500.0
Kanji,3.8,4.3,435,0,South Indian,Sindhi Camp, Jaipur,Sweet Lassi,,59,45.0
Alpine Restaurant & Banquet,3.9,4.1,473,0,Beverages,Ellis Bridge, Ahmedabad,Cheese Pulao,,0,199.0
Agarwal Caterers,3.6,4.3,54,0,Fast Food,Shastri Nagar, Jaipur,Tandoori Cheese Grill Sandwich,,322,84.82
The Breakfast Cafe,,3.6,1,682,Pizza,Civil Lines, Raipur,Paneer Uttapam,,0,159.0
The Good Bowl,,3.9,0,912,Italian,Wadala, Mumbai,Mughlai Falafel Rice Bowl,BESTSELLER,0,269.0
Dindigul Thalappakatti,,4.0,1,0,Beverages,Panampilly Nagar, Kochi,Mushroom Masala,,0,269.0
Bunk Class,4.0,3.7,211,0,Pizza,Amanaka, Raipur,Schezwan Fried Rice,,14,129.0
Pure Momos,,3.4,0,114,Pizza,Civil Lines, Raipur,Masala Idli,,0,199.0
Kanha,3.8,4.2,872,0,Desserts,C Scheme, Jaipur,Nimbu Masala [200 grams],Not eligible for coupons,5,47.14
Mumbaiya Misal & Vadapav,3.9,3.8,4,427,Maharashtrian,Navrangpura, Ahmedabad,Tandoori Vadapav,,0,70.0
Dimsum Momo Express,3.9,3.8,0,3,Chinese,Chembur, Mumbai,Chicken Thai Yellow Curry With Steam Rice,,0,290.0
Moti Mahal,4.0,3.6,70,0,Pizza,Jawahar Nagar, Raipur,Malai Kofta [400 grams],,0,336.0
Blue Sea Restaurant,,4.1,2,940,North Indian,Basheer Bagh, Hyderabad,Kung Pao Fish,,0,350.0
Pizza Hut,3.4,3.9,271,0,Beverages,Shanti Nagar, Bangalore,Tandoori Classic Veg Combo,,48,278.0
Cafe 17,4.6,4.1,259,0,Beverages,Ravipuram, Kochi,Sliced beef & noodles soup,,5,260.0
Rolls Mania,4.1,4.2,87,0,Beverages,Sadashiv Peth, Pune,Rajma Masala Meal Box,,0,209.0
Annamaya,4.3,4.1,187,952,Beverages,Byculla, Mumbai,Manchow Soup,BESTSELLER,18,210.0
Lucky Multicuisine Restaurant,4.2,3.8,692,0,Mandi,Somajiguda, Hyderabad,Mixed Veg Curry,,12,140.0
Pure Momos,,3.4,0,114,Pizza,Civil Lines, Raipur,Panjabi Maggie,,0,149.0
The Momo Factory,2.8,3.7,97,0,Fast Food,Dadar Shivaji Park, Mumbai,Chicken Khao Suey Noodles,,0,399.0
Sandwich Jn.,3.9,4.1,101,0,Pizza,Samta Colony, Raipur,Cheesy French Fries,,18,130.0
Grill A Delics,4.1,3.8,142,303,Beverages,Washermenpet, Chennai,Brownie With Ice Cream,,0,223.0
McDonald's,3.6,4.2,2,0,Beverages,Shaniwar Peth, Pune,2 McSpicy Chicken + McNuggets 20 Pcs + Fries (L) + Coke,,0,852.39
Jassi De Parathe,4.3,4.3,0,0,Beverages,Vastrapur, Ahmedabad,Paneer Bhurji Sada Paratha Combo.,BESTSELLER,66,320.0
Agarwal Caterers,3.6,4.3,54,0,Fast Food,Shastri Nagar, Jaipur,Laccha Rabdi [Seasonal],,171,102.38
Fried Chicken Wala,4.0,4.0,244,0,Pizza,Shibpur, Kolkata,Spicy Peri Peri French Fries,,132,109.0
McDonald's,3.8,4.0,726,0,Beverages,Crystal Palm Mall, Jaipur,Sprite Chili Guava- Reusable Bottle,Not on Pro,0,93.33
Ponnusamy Hotel,3.4,3.7,127,0,Beverages,Egmore, Chennai,Chicken Schezwan Fried Rice,,0,305.0
99 Variety Dosa & Pav Bhaji,3.9,3.5,164,0,Maharashtrian,Koramangala 6th Block, Bangalore,Paneer Cheese Mysore Masala Dosa,,6,135.0
Hari Om Centre,3.3,3.7,63,0,Gujarati,Vastrapur, Ahmedabad,Paneer Pasanda [400 grams],,0,315.0
Anjappar,3.1,3.8,74,0,Beverages,Parrys, Chennai,Masala Papad,,0,85.0
Jhakas Family Restaurant,,3.7,0,668,Sichuan,Wadala, Mumbai,Chicken Kabsa Rice,,0,670.0
Amfah Hotel,4.2,3.7,129,0,North Indian,Mehdipatnam, Hyderabad,Beef Biryani Special,BESTSELLER,141,219.0
Arabian Dreams,2.9,3.6,11,0,Shawarma,Kadavanthra, Kochi,Mixed Schezwan Noodles,,0,240.0
Lassi Shop,3.4,4.1,14,662,Desserts,Malakpet, Hyderabad,Fruit Salad with Mango Ice Cream,,0,105.0
Ambika Foods,,3.9,0,111,Momos,Attapur, Hyderabad,Paneer Paratha,,0,60.0
Victorian Bakery,,4.1,0,0,Street Food,Jawahar Nagar, Jaipur,Cold Punjabi Sandwich,,5,80.0
Sudama Bhel,,3.9,0,174,Fast Food,Yerawada, Pune,Sev Puri,BESTSELLER,16,60.0
Sam's Pork And Beef,,3.9,0,788,Biryani,Anna Nagar East, Chennai,Beef Curry,MUST TRY,91,270.0
Mayur Pan House,4.3,3.9,564,0,Ice Cream,Abids, Hyderabad,Pista Kulfi,,0,94.0
UBQ by Barbeque Nation,,3.7,0,0,Desserts,Banjara Hills, Hyderabad,Premium Non-Veg Chicken Thali,BESTSELLER,5,469.0
Grill A Delics,4.1,3.8,142,303,Beverages,Washermenpet, Chennai,Brownie With Ice Cream,,0,223.0
Big Fat Momo,4.3,4.1,426,0,Fast Food,Kacheripady, Kochi,Chicken Pizza Momos [5 Pieces],,0,130.0
Lucky Multicuisine Restaurant,4.2,3.8,692,0,Mandi,Somajiguda, Hyderabad,Mashroom 65,,0,190.0
1944 -The HOCCO Kitchen,4.3,4.3,0,0,Shake,Navrangpura, Ahmedabad,Butter Roti,,51,79.0
Karachi Bakery,,3.8,0,332,Fast Food,Nampally, Hyderabad,Zeera Biscuits 400g,,5,135.59
Arsalan,3.9,4.2,0,0,Seafood,Park Street Area, Kolkata,Chicken Reshmi Butter Masala [6 Pieces],,75,394.0
Bikkgane Biryani,,3.8,0,0,Mughlai,Kothrud, Pune,Kolkata Chicken Biryani,BESTSELLER,50,299.0
NR - Navaratna Udupi Pure Veg,,3.8,2,418,South Indian,Porvorim, Goa,Kaju Curry,,0,300.0
The Garam Chulha,,4.1,0,878,Chinese,Aliganj, Lucknow,Honey Chilli Potato,,0,169.0
Mother's Kitchen,4.1,3.9,93,0,Biryani,Kothrud, Pune,Paneer Angari,,0,239.0
Liza Restaurant,3.9,4.1,141,0,Beverages,Vepery, Chennai,Chicken Tikka Masala,,10,328.0
Shawarma Daddy,3.6,4.0,44,0,Beverages,Edappally, Kochi,Koozi Rice,,0,99.0
Daily Sushi,4.3,4.3,138,240,Beverages,Church Street, Bangalore,"Crab-Mayo Maki Roll (Futomaki, 6 pcs)",,0,380.0
Jal Mahal Ice Cream Parlour,4.1,4.4,848,0,Beverages,MI Road, Jaipur,Strawberry Queen Shake with Ice Cream,,0,150.0
Smokin' Joe's,3.1,3.6,131,0,Sandwich,Wadala, Mumbai,Vegetarian Delight Sandwich,SPICY,0,190.0
Hira Sweets,,4.0,0,0,Mithai,Laxmi Nagar, New Delhi,Stuffed Chaap [4 Pieces],,0,238.0
KFC,4.0,3.7,159,660,Beverages,Brigade Road, Bangalore,Veg Zinger Burger,,6,188.57
Cafe 36,3.1,4.1,10,148,Pizza,Samta Colony, Raipur,Veg Sanghai Roll,,0,150.0
Madurai Pandian Mess,3.3,4.0,166,0,BBQ,Royapettah, Chennai,Prawn Fried Noodles,,5,170.0
Adhiya Beef Biriyani,,3.6,0,0,Biryani,Nungambakkam, Chennai,Beef Manchurian Curry,,0,140.0
Domino's Pizza,3.9,3.9,563,0,Fast Food,Entally, Kolkata,Meal for 2: Pepper BBQ Chicken & Spiced Double Chicken,Not eligible for coupons,0,579.0
Grill A Delics,4.1,3.8,142,303,Beverages,Washermenpet, Chennai,Egg Schezwan Noodles,,0,238.0
Daily Sushi,4.3,4.3,138,240,Beverages,Church Street, Bangalore,Veg Tempura Ramyun,,0,490.0
Buhari Vintage Hotel,3.5,4.1,101,0,Beverages,Kilpauk, Chennai,Kadai Vegetable,SPICY,0,285.0
Nazeer Foods,3.4,3.7,24,456,Rolls,Lajpat Nagar 2, New Delhi,Mutton Stew,,11,380.0
Baap Of Rolls,3.2,4.1,5,82,Rolls,Laxmi Nagar, New Delhi,Makhani Paneer Roll,,0,219.0
Brown Sugar,4.1,4.2,0,0,Beverages,Axis Mall, Jaipur,High School Pizza,,0,440.0
Big Smokin Burgers,3.9,3.9,73,591,Beverages,Delhi University-GTB Nagar, New Delhi,Hot Shot Lamb Burger,,0,376.0
Choice Only Veg,4.1,4.2,148,0,Chinese,Fatima Nagar, Pune,Curd Rice,,0,180.0
Anjoy Latenight Meals,,4.0,0,0,Beverages,Gurukul, Ahmedabad,Manchurian Noodles,,24,240.0
WOW! Momo,,4.2,0,726,Beverages,Malakpet, Hyderabad,Veggie Moburg,,0,79.0
The Kati Roll Shop,4.2,4.0,422,0,Kebab,Gopalapuram, Chennai,Chilly Mushroom Roll,,14,160.0
Lucky Multicuisine Restaurant,4.2,3.8,692,0,Mandi,Somajiguda, Hyderabad,Fish Manchurian,,0,250.0
EatFit,,4.0,0,0,Beverages,Aminijikarai, Chennai,"8"" Peri Peri Paneer Pizza",BESTSELLER,26,329.0
Delhi Darbar Dhaba,3.8,3.7,135,0,Mughlai,Gole Market, New Delhi,Veg Manchow Soup With Fried Noodles,,0,220.0
Living Bowls,,3.7,0,604,Juices,Koramangala 7th Block, Bangalore,Spicy Tapioca Chips,,6,39.0
Thaal Kitchen,4.1,3.7,126,0,Fast Food,MG Road, Kochi,Beef Biriyani & Pineapple Lime,,7,220.0
Goila Butter Chicken,,3.9,0,612,Rolls,Koramangala 6th Block, Bangalore,Murgh Malai Tikka,,14,360.0
Sharma Chai,,4.2,0,0,Street Food,Lalbagh, Lucknow,Plain Bun,,10,20.0
FreshMenu,,3.9,0,0,Chinese,Richmond Road, Bangalore,Soboro Don Superbowl,,20,339.0
Buhari Vintage Hotel,3.5,4.1,101,0,Beverages,Kilpauk, Chennai,Mushroom Fried Rice,,0,265.0
Laziz Pizza,3.8,3.9,833,0,Beverages,Gopalpura, Jaipur,Peri Peri French Fries,,23,109.0
Chili's Grill & Bar,4.5,4.1,0,0,Beverages,Connaught Place, New Delhi,Corn On The Cob,,75,105.0
KGN Chicken Corner & Biryani Center,3.1,3.7,44,0,Pizza,Mowa, Raipur,Anda Omelette,,0,50.0
Hundo Pizza,,4.1,0,0,American,Khar, Mumbai,Bacon Carbonara Pizza,BESTSELLER,78,425.0
The Biryani Inc.,,4.1,0,0,Pizza,Kasba, Kolkata,Chicken Do Pyaza,,5,244.0
Roll Express,,4.0,0,0,Rolls,C Scheme, Jaipur,Classic Cheese Roll,BESTSELLER,36,120.0
Hot 100,4.2,4.3,252,0,Pizza,Devendra Nagar, Raipur,Onion Tomato Rice,,5,145.0
Anjappar,3.1,3.8,74,0,Beverages,Parrys, Chennai,Masala Papad,,0,85.0
Truffles,4.6,4.3,0,0,Desserts,St. Marks Road, Bangalore,Chicken Rocky Road Burger,,86,200.0
Iconic Cafe,,4.0,0,63,Pizza,Purena, Raipur,Chocolate Tea,,0,25.0
Yashwanth Pizza Den,,4.0,0,15,Beverages,RTC X roads, Hyderabad,Chicken Grilled Burger,BESTSELLER,0,130.0
Ariena Boutique Hotel,3.9,4.2,13,523,Pizza,Purena, Raipur,Veg Sweet Corn Soup,,0,195.0
Blue Nile,3.6,4.1,0,0,Beverages,Camp Area, Pune,Tandoori Fish Full Pomfret,,0,520.0
A2B - Adyar Ananda Bhavan,3.4,4.1,6,0,Beverages,Shanti Nagar, Bangalore,Gongura Thokku 400 Grams,,0,223.21
St. Louis Pizza,,3.4,0,225,Beverages,Bais Godam, Jaipur,St. Chicken Maxican Twist Pizza,,0,252.0
Keventers - Milkshakes & Desserts,3.3,4.3,2,760,Desserts,The Pavillion, Pune,Chocolate Oreo Thick Shake,,0,279.0
FreshMenu,,3.9,0,0,Chinese,Frazer Town, Bangalore,BBQ Grilled Chicken-Veggie Meal,,0,299.0
The Momoz Hub,,4.0,0,183,Beverages,C Scheme, Jaipur,Cottage Cheese Trio Sauce,,0,315.0
7 Plates,,4.3,0,0,Seafood,Frazer Town, Bangalore,Chicken 65 Gravy,,0,333.0
Cafe 555 & Aqeeq Restaurant,4.2,4.1,0,0,Desserts,Masab Tank, Hyderabad,Fried Prawns,,20,220.0
La Pino'z Pizza,4.0,3.8,164,0,Fast Food,C Scheme, Jaipur,Paneer Tikka Stuffed Garlic Bread,,20,185.0
Hot Pizza Ace,,3.6,0,0,Shake,Gomti Nagar, Lucknow,Capsicum and Chicken Salami Pizza [7 Inches],,0,219.0
Wangs Kitchen,3.3,4.0,279,0,Desserts,Royapettah, Chennai,Beef Crispy Chilli,,0,431.0
Beijing Bites,3.8,3.8,385,0,Momos,Richmond Road, Bangalore,Chicken Coriander Soup,,0,185.0
Delhi Zaika,3.8,3.6,327,0,Beverages,Mahim, Mumbai,Paneer Black Bean Dry,,0,429.0
Casa Blanca,,3.6,0,0,Continental,Byculla, Mumbai,Chicken Singapore Rice,,9,229.0
Shobhaa Only Veg,4.0,4.2,487,0,Beverages,Parel, Mumbai,Chana Masala,,6,280.0
Baap Of Rolls,3.2,4.1,5,82,Rolls,Laxmi Nagar, New Delhi,Peppery Chicken Roll,,0,249.0
Dindigul Veetu Kalyanam,,3.5,0,601,Biryani,Egmore, Chennai,Bread Halwa [ 100ml ],,28,70.0
Namaste Chai,,3.9,0,590,Ice Cream,Porvorim, Goa,Clear Skin,,0,47.62
KGN Xprs,,3.9,0,940,Sichuan,Aundh, Pune,Veg Hot and Sour Soup,,0,140.0
Mathsya,4.2,4.1,0,0,Shake,Egmore, Chennai,Phulka,,27,49.0
Ovenfresh,4.4,4.3,0,0,Beverages,Dadar Shivaji Park, Mumbai,Pistachio Opera Cake [500 grams],,13,761.9
Dum Safar Biryani,,4.3,0,724,Desserts,Memnagar, Ahmedabad,Mutton Dum Biryani (Serves 4),,0,1439.0
A Balaji Santosh Dhaba,3.7,4.0,9,974,Chinese,Langer Houz, Hyderabad,Kadai Mushroom,,0,240.0
Gajanand Pauva House,3.7,3.9,15,214,Shake,Navrangpura, Ahmedabad,Cheese Chutney Sandwich Toast [250 grams],,0,140.0
Pizza Hut,,3.7,0,30,Fast Food,Esplanade, Kolkata,Margherita Pizza,BESTSELLER,0,169.0
CA's Kitchen,,3.2,0,852,Pizza,Shankar Nagar, Raipur,Boondi Raita,,29,50.0
Bell Pepper Pizza,4.1,3.9,151,666,Beverages,Jhotwara, Jaipur,Chana Chaat,,0,140.0
BOX8 - Desi Meals,,4.1,0,0,Beverages,Wadala, Mumbai,Gulab Jamun [100 gm],,5,98.0
Diggin,4.1,4.2,457,0,Beverages,Connaught Place, New Delhi,Fish & Chips,,23,525.0
Crystal Restaurant & Bar,4.2,3.9,697,0,Biryani,Nallakunta, Hyderabad,Prawns Biryani,MUST TRY,32,350.0
Balle Balle Delhi Wale Soya Chaap Zone,4.1,4.0,214,0,Street Food,Gomti Nagar, Lucknow,Veg Soya Latpat Masala Chaap(medium spicy gravy),BESTSELLER,236,209.0
Mr. Burger,3.7,3.9,0,137,Fast Food,Parrys, Chennai,Chicken Seekh Kabab Grilled Sandwich,,0,154.0
Jubilee Restaurant,,,0,0,Chinese,Panaji, Goa,Egg Bhurji [2 Egg],,0,70.0
Shawarma Nation,4.0,4.3,176,0,Pizza,City Centre 1, Kolkata,Turkish Shish Chicken Roll,,52,219.0
Balaji Santosh Family Dhaba,3.8,4.1,273,0,Beverages,Amberpet, Hyderabad,Palak Paneer,,35,290.0
Wowfillss,,4.0,0,944,Beverages,Byculla, Mumbai,Triple Chocolate,BESTSELLER,19,160.0
FreshMenu,,3.9,0,0,Chinese,Frazer Town, Bangalore,BBQ Grilled Chicken-Veggie Meal,,0,299.0
Bikkgane Biryani,,3.8,0,0,Mughlai,Kothrud, Pune,Keema Hyderabadi Biryani,,0,369.0
Brown Sugar,4.1,4.2,0,0,Beverages,Axis Mall, Jaipur,High School Pizza,,0,440.0
Tapri By The Corner,4.2,3.7,179,0,Chinese,Koramangala 5th Block, Bangalore,Dal Tadka,,12,129.0
Pizza Studio,4.0,3.9,685,0,Fast Food,Laxmi Nagar, New Delhi,Capsicum Masala Maggie (2 Portions Of Maggie),,0,117.46
Hotel Shubham Prestige,3.5,3.8,57,0,Beverages,Saroor Nagar, Hyderabad,Chilli Paneer,,0,195.0
Bole To Vadapav,3.0,3.6,1,183,Beverages,Naranpura, Ahmedabad,Tangda Tandoori Bhajiya Pav,,0,40.0
Pizza Hut,,3.7,0,30,Fast Food,Esplanade, Kolkata,Dhabe Da Keema,,0,319.0
Savi Sagar,3.9,3.8,221,0,Beverages,Malleshwaram, Bangalore,Dum Aloo Kashmiri,,0,185.0
Anju Sweets,4.3,3.8,711,0,Desserts,Inderlok, New Delhi,Singapore Noodles with Pav Bhaji and Coke [750 ml],,10,300.0
Peaberrys,,4.3,0,77,Pizza,Esplanade, Kolkata,Grilled BBQ Chicken Steak with Sauteed Vegetable,,0,425.0
Bawarchi,4.2,4.1,0,0,Desserts,RTC X roads, Hyderabad,Boneless Kadai Chicken,,18,230.0
Burger King,4.0,4.0,162,0,Beverages,Pink Square Mall, Jaipur,Fiery Twins,,9,338.0
D Pizza Club,3.9,3.8,488,0,Desserts,Rajajipuram, Lucknow,Veg Loaded Pizza [7 inches] with Margherita Pizza [7 inches] and Thums Up [250 ml],NEW,21,299.0
Zam Zam Restaurant,4.2,4.3,0,0,Pizza,Park Circus Area, Kolkata,Green Salad,,191,59.0
Pista House Bakery,,4.3,0,0,Beverages,Charminar, Hyderabad,Special Mix Dry Fruit 500 Gms,,0,849.0
Tasty Tiffin Food Service,,4.1,0,222,North Indian,Penha de Franca, Goa,Egg Curry Thali,,0,129.0
Buhari Vintage Hotel,3.5,4.1,101,0,Beverages,Kilpauk, Chennai,Hyderabadi Chicken,SPICY,0,320.0
UBQ by Barbeque Nation,,3.7,0,0,Desserts,Banjara Hills, Hyderabad,Premium Non-Veg Chicken Thali,BESTSELLER,5,469.0
Game Of Spices,4.3,3.7,88,0,Sichuan,Mansarovar, Jaipur,Chicken Roast Curry,,15,460.0
Roasties,3.7,3.8,24,221,Biryani,Chowk, Lucknow,Veg Cheese Burger,,0,110.0
Pizza Olive,,4.2,0,225,Pizza,Devendra Nagar, Raipur,"Capsicum Paneer and Cheese Pizza [Regular, 7 inches]",MUST TRY,28,149.0
Neelkanth Sweets,4.2,4.3,779,0,Beverages,Gomti Nagar, Lucknow,Mamra Badam Barfi (400g Pack),,0,720.0
Prithvi Hotel,3.8,4.0,254,0,Desserts,Mani Nagar, Ahmedabad,Prawn Chilli Dry (6 psc) + Cold Beverage,,0,400.0
Fried Chicken Wala,4.0,4.0,244,0,Pizza,Shibpur, Kolkata,Spicy Peri Peri French Fries,,132,109.0
Daily Sushi,4.3,4.3,138,240,Beverages,Church Street, Bangalore,"Crab-Mayo Maki Roll (Futomaki, 6 pcs)",,0,380.0
Dreams Cafe,,3.7,3,0,Pizza,Sector 4, Kolkata,Non Veg Maggi,,0,140.0
Lazeez Biryani,3.6,3.7,728,0,Pizza,Entally, Kolkata,Mineral Water [500 ml],Not on Pro,5,30.0
Kanha,3.8,4.2,872,0,Desserts,C Scheme, Jaipur,Kadke [200 grams],Not eligible for coupons,5,47.14
1944 -The HOCCO Kitchen,4.3,4.3,0,0,Shake,Navrangpura, Ahmedabad,Grilled Paneer Taka Tak Sandwich,,20,199.0
Harishankar Veg Restro,3.8,4.0,273,0,Beverages,Raja Park, Jaipur,Stuffed Paratha(tandoori),,0,140.0
Nisarga,3.4,4.1,137,0,Biryani,Basaveshwara Nagar, Bangalore,Veg Sweet Corn Soup,,0,125.0
Roopali Veg,3.6,4.2,20,0,Beverages,Bibvewadi, Pune,Green Pepper,,0,230.0
Talk Of The Town,4.1,4.2,0,0,Biryani,MI Road, Jaipur,Prawn Chilli Gravy,,0,649.0
Domino's Pizza,3.2,3.7,367,0,Desserts,Ravipuram, Kochi,Choco Lava Cake + Pepsi,Not eligible for coupons,0,155.0
Manju Mamta Restaurant,4.2,4.2,0,0,Pizza,Jawahar Nagar, Raipur,Veg Chowmein,BESTSELLER,43,250.0
Marky Momos,3.1,4.1,16,0,Beverages,C Scheme, Jaipur,Chicken Manchurian And Egg Hakka,,0,730.35
Kanji,3.8,4.3,435,0,South Indian,Sindhi Camp, Jaipur,Sweet Lassi,,59,45.0
Firewood Pizza,,3.3,0,320,Italian,Gopalpura, Jaipur,Paneer Onion Pizza,BESTSELLER,31,159.0
Khandelwal Dhaba Purana Wala,3.9,4.0,353,0,South Indian,Sikar Road, Jaipur,Paneer Pyaz,,0,290.0
Atlanta  Family Resto And Bar,,,0,0,Ice Cream,Porvorim, Goa,Paneer Tikka,,0,350.0
EatFit,,4.0,0,0,Beverages,Aminijikarai, Chennai,"Palak Paneer, Dal Makhani, Parathas Thali",,0,248.0
Rominus Pizza And Burger,4.1,4.1,149,0,Fast Food,Jopling Road, Lucknow,Chicken Delight Pizza Regular,,0,340.0
Fried Chicken Destination,3.8,4.1,31,0,Fast Food,Kothrud, Pune,1 Pcs Fried Chicken + Dip + Soft Drink,,5,199.0
The Tea Planet,3.4,3.6,0,116,Coffee,Attapur, Hyderabad,Litchi Tea,,0,89.0
Subway,3.8,3.5,192,0,Fast Food,Kilpauk, Chennai,Tangy Paneer Tikka Signature Wrap,,7,299.0
Sahara Family Restaurant,3.3,3.8,4,507,Sichuan,Chembur, Mumbai,Chicken Manchurian Gravy,,0,282.0
Ovenfresh,4.4,4.3,0,0,Beverages,Dadar Shivaji Park, Mumbai,Dukkah Spice Chilli Puff Straws [200 grams],,0,133.33
NR - Navaratna Udupi Pure Veg,,3.8,2,418,South Indian,Porvorim, Goa,Veg Chilli Milli,,0,230.0
Agarwal Caterers,3.6,4.3,54,0,Fast Food,Shastri Nagar, Jaipur,Kaju Chandramukhi,,6,209.52
Delhi Darbar Dhaba,3.8,3.7,135,0,Mughlai,Gole Market, New Delhi,Veg Manchow Soup With Fried Noodles,,0,220.0
The Kebabish,3.8,3.7,337,0,Fast Food,Kankaria, Ahmedabad,Egg Chatpata [2 Eggs],,0,199.0
MS Bakery,,4.1,0,0,Bakery,Attapur, Hyderabad,Chicken Zinger Roll,BESTSELLER,58,90.0
Grillin' It,3.9,3.5,10,45,Biryani,Porvorim, Goa,Shahi Malai Paneer [6 Pieces],,0,290.0
Ovenfresh,4.4,4.3,0,0,Beverages,Dadar Shivaji Park, Mumbai,Garlic Bread with Cheese,BESTSELLER,96,140.0
Mughlai Affair,,3.6,0,0,Rolls,Chembur, Mumbai,Veg Crispy,,5,159.0
Mario's,,4.0,0,0,Pizza,Moudhapara, Raipur,Potato Chilli Dry,,5,150.0
Ovenfresh,4.4,4.3,0,0,Beverages,Dadar Shivaji Park, Mumbai,Pistachio Opera Cake [500 grams],,13,761.9
Shobhaa Only Veg,4.0,4.2,487,0,Beverages,Parel, Mumbai,Kaju Masala,,8,330.0
The Kebabish,3.8,3.7,337,0,Fast Food,Kankaria, Ahmedabad,Chicken Seekh Roll,,5,149.0
FPF  Coffee Wale Bhaiya,3.1,4.1,9,914,Beverages,Pink City, Jaipur,Garlic Bread With Cheese (6 Pcs),,0,165.0
Puffizza,4.3,4.1,0,0,Beverages,Gurukul, Ahmedabad,Mexican Heat Wave Pizza,SPICY,14,264.0
Rominus Pizza And Burger,3.7,4.0,35,0,Fast Food,C Scheme, Jaipur,White Sauce Veg Pasta,,54,100.0
12 To 12 BBQ,4.0,4.0,104,0,Biryani,Panampilly Nagar, Kochi,Mexican Beef with Simla Rice,MUST TRY,15,410.0
Apoorva Delicacies,3.8,4.1,654,0,Beverages,Dadar Shivaji Park, Mumbai,Fruit Salad with Jelly,,0,210.0
Domino's Pizza,3.9,3.9,563,0,Fast Food,Entally, Kolkata,Summer Special Combo @ Rs.180 off,Not eligible for coupons,0,729.0
Flavours Of China,4.2,4.0,395,0,Seafood,Dadar West, Mumbai,Paneer Mushroom Baby Corn Green Pepper Dry Red Chilly,,0,330.0
Pizza Hut,3.6,3.8,782,0,Beverages,MI Road, Jaipur,Spiced Paneer,,52,259.0
Savoury Sea Shell,4.0,4.1,848,0,Sichuan,Thousand Lights, Chennai,Flosberry Flot,,0,157.0
Charcoal Eats - Biryani & Beyond,,4.1,0,0,Rolls,Dadar East, Mumbai,Malai Chicken Tikka Roll - 7 Inches,,0,299.0
P. Bhagat Tarachand,3.1,3.6,27,0,Beverages,Mani Nagar, Ahmedabad,Palak Masala,,0,265.0
Khalids Biriyani,3.5,3.8,31,0,Chinese,T. Nagar, Chennai,Chicken Fried Rice,,160,250.0
KFC,4.1,4.1,181,0,Beverages,Sealdah Area, Kolkata,Double Chicken Roll Meal for 2,,0,548.57
McDonald's,3.8,4.0,726,0,Beverages,Crystal Palm Mall, Jaipur,EVM McAloo Tikki Burger®,Not eligible for coupons,144,184.76
GOPIZZA,3.7,3.8,47,139,Fast Food,Orion East, Banaswadi,Pepproni Mania Pizza,,0,390.0
The Burping Panda,,3.9,0,0,Pizza,Park Circus Area, Kolkata,Konjie Chicken,,7,159.0
